"","reg_id","short_title","long_title","xml_url","ConsolidationDate","RegistrationDate","LastAmendedDate","enablingauthority","repealed","incorp_references","wordcount","PRESCRIPTIVITY_prescriptions_RawCount","PRESCRIPTIVITY_permissions_RawCount","PRESCRIPTIVITY_prescriptions_Index","PRESCRIPTIVITY_permissions_Index","PRESCRIPTIVITY_Index","FLEXIBILITY_exceptions_RawCount","FLEXIBILITY_discretions_RawCount","FLEXIBILITY_exceptions_Index","FLEXIBILITY_discretions_Index","COMPLEXITY_legal_jargon_RawCount","COMPLEXITY_legal_jargon_Index","COMPLEXITY_cross_referencing_RawCount","COMPLEXITY_cross_referencing_Index","AGE_DaysLastModified","AGE_outdated_words_RawCounts","AGE_outdated_words_Index"
"36","C.R.C., c. 112","St. Johns (Quebec) Airport Zoning Regulations","Regulations Respecting Zoning at St.<U+00A0>Johns (Quebec) Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._112.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",413,1,1,0.242130750605327,0.242130750605327,1,2,0,0.484261501210654,0,0,0,2,0.484261501210654,14888,0,0
"37","C.R.C., c. 1120",NA,"National Parks of Canada Fishing Regulations","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1120.xml","1977-12-31",NA,2005-07-13,"CANADA NATIONAL PARKS ACT","no","0",7298,94,12,1.28802411619622,0.164428610578241,7.30769230769231,61,6,0.835845437106056,0.0822143052891203,21,0.287750068511921,80,1.09619073718827,4832,41,0.561797752808989
"38","C.R.C., c. 1126","National Parks Highway Traffic Regulations","Regulations Governing Highway Traffic in the National Parks of Canada","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1126.xml","1977-12-31",NA,1977-12-31,"CANADA NATIONAL PARKS ACT","no","0",4031,63,12,1.56288762093773,0.297692880178616,4.92307692307692,23,6,0.570578020342347,0.148846440089308,9,0.223269660133962,56,1.38923344083354,14888,4,0.0992309600595386
"39","C.R.C., c. 113","St. John<U+2019>s (Torbay) Airport Zoning Regulations","Regulations Respecting Zoning at St.<U+00A0>John<U+2019>s (Torbay) Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._113.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",504,2,2,0.396825396825397,0.396825396825397,1,2,0,0.396825396825397,0,0,0,3,0.595238095238095,14888,0,0
"40","C.R.C., c. 1130","National Parks Signs Regulations","Regulations Respecting the Erection of Signs, Canopies and Awnings in the National Parks of Canada","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1130.xml","1977-12-31",NA,1977-12-31,"CANADA NATIONAL PARKS ACT","no","0",2321,24,10,1.0340370529944,0.430848772081,2.27272727272727,21,1,0.904782421370099,0.0430848772081,5,0.2154243860405,25,1.0771219302025,14888,11,0.4739336492891
"41","C.R.C., c. 1134",NA,"National Parks of Canada Water and Sewer Regulations","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1134.xml","1977-12-31",NA,1977-12-31,"CANADA NATIONAL PARKS ACT","no","0",6139,56,14,0.912200684150513,0.228050171037628,3.8,5,6,0.0814464896562958,0.097735787587555,15,0.244339468968887,101,1.64521909105718,14888,11,0.179182277243851
"42","C.R.C., c. 114","Saint John Airport Zoning Regulations","Regulations Respecting Zoning at Saint John Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._114.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",464,2,2,0.431034482758621,0.431034482758621,1,1,0,0.21551724137931,0,0,0,2,0.431034482758621,14888,0,0
"43","C.R.C., c. 1145","Ammonium Nitrate Storage Facilities Regulations","Regulations Respecting the Design, Location, Construction, Operation and Maintenance of Storage Facilities for Ammonium Nitrate and Ammonium Nitrate Mixed Fertilizers","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1145.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","4",4419,66,22,1.49355057705363,0.497850192351211,2.91304347826087,37,1,0.837293505317945,0.0226295541977823,15,0.339443312966735,85,1.9235121068115,14888,12,0.271554650373388
"44","C.R.C., c. 1146","Anhydrous Ammonia Bulk Storage Regulations","Regulations Respecting the Design, Location, Construction, Operation and Maintenance of Stationary Bulk Storage Facilities for Anhydrous Ammonia","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1146.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","14",7097,207,19,2.91672537691983,0.267718754403269,10.4,39,5,0.549527969564605,0.0704523037903339,2,0.0281809215161336,62,0.873608567000141,14888,17,0.239537832887135
"45","C.R.C., c. 1147","Chlorine Tank Car Unloading Facilities Regulations","Regulations Respecting the Design, Location, Construction, Operation and Maintenance of Chlorine Tank Car Unloading Facilities","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1147.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","1",3992,94,14,2.35470941883768,0.350701402805611,6.33333333333333,22,2,0.551102204408818,0.0501002004008016,6,0.150300601202405,39,0.976953907815631,14888,8,0.200400801603206
"46","C.R.C., c. 1148","Flammable Liquids Bulk Storage Regulations","Regulations Respecting the Design, Location, Construction, Operation and Maintenance of Stationary Bulk Storage Facilities for Flammable Liquids","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1148.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","5",7456,199,30,2.66899141630901,0.402360515021459,6.45161290322581,39,11,0.523068669527897,0.147532188841202,13,0.174356223175966,75,1.00590128755365,14888,23,0.308476394849785
"47","C.R.C., c. 115","Springbank Airport Zoning Regulations","Regulations Respecting Zoning at Springbank (Calgary Satellite) Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._115.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",473,1,2,0.211416490486258,0.422832980972516,0.666666666666667,0,0,0,0,0,0,1,0.211416490486258,14888,0,0
"49","C.R.C., c. 1152","Liquefied Petroleum Gases Bulk Storage Regulations","Regulations Respecting the Design, Location, Construction, Operation and Maintenance of Stationary Bulk Storage Facilities for Liquefied Petroleum Gases","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1152.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","7",8031,228,31,2.83899887934255,0.38600423359482,7.15625,37,5,0.460714730419624,0.0622587473540032,2,0.0249034989416013,63,0.784460216660441,14888,24,0.298841987299216
"50","C.R.C., c. 116","Sudbury Airport Zoning Regulations","Regulations Respecting Zoning at Sudbury Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._116.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",477,2,2,0.419287211740042,0.419287211740042,1,0,0,0,0,0,0,4,0.838574423480084,14888,0,0
"51","C.R.C., c. 117","Sydney Airport Zoning Regulations","Regulations Respecting Zoning at Sydney Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._117.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",480,2,2,0.416666666666667,0.416666666666667,1,0,0,0,0,0,0,1,0.208333333333333,14888,0,0
"52","C.R.C., c. 1171","Railway Safety Appliance Standards Regulations","Regulations Respecting Railway Safety Appliance Standards","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1171.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","0",507,6,1,1.18343195266272,0.19723865877712,3.5,1,0,0.19723865877712,0,2,0.394477317554241,15,2.9585798816568,14888,0,0
"53","C.R.C., c. 118","Timmins Airport Zoning Regulations","Regulations Respecting Zoning at Timmins Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._118.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",422,1,2,0.23696682464455,0.4739336492891,0.666666666666667,0,0,0,0,0,0,1,0.23696682464455,14888,0,0
"54","C.R.C., c. 1182","Height of Wires of Telegraph and Telephone Lines Regulations","Regulations Respecting the Height of Wires of Telegraph and Telephone Lines","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1182.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","0",133,2,1,1.50375939849624,0.75187969924812,1.5,1,0,0.75187969924812,0,0,0,0,0,14888,0,0
"56","C.R.C., c. 1185","Joint Use of Poles Regulations","Regulations Respecting Joint Use of Poles by Telephone, Telegraph and Electric Power Corporations","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1185.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","0",769,11,8,1.43042912873862,1.04031209362809,1.33333333333333,7,1,0.910273081924577,0.130039011703511,2,0.260078023407022,4,0.520156046814044,14888,1,0.130039011703511
"57","C.R.C., c. 1195","Wire Crossings and Proximities Regulations","Regulations Respecting Standards for Wire Crossings and Proximities","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1195.xml","1977-12-31",NA,1977-12-31,"RAILWAY SAFETY ACT","no","0",1555,30,11,1.92926045016077,0.707395498392283,2.58333333333333,7,7,0.45016077170418,0.45016077170418,2,0.128617363344051,11,0.707395498392283,14888,9,0.578778135048232
"58","C.R.C., c. 121","Victoria International Airport Zoning Regulations","Regulations Respecting Zoning at Victoria International Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._121.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",1347,1,2,0.0742390497401633,0.148478099480327,0.666666666666667,0,0,0,0,0,0,11,0.816629547141797,14888,1,0.0742390497401633
"59","C.R.C., c. 122","Whitehorse Airport Zoning Regulations","Regulations Respecting Zoning at Whitehorse Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._122.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",376,1,1,0.265957446808511,0.265957446808511,1,0,0,0,0,0,0,0,0,14888,0,0
"60","C.R.C., c. 1225","Telegraph and Cable Messages Terms and Conditions Order","Order Prescribing Terms and Conditions for the Transmission of Telegraph and Cable Messages","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1225.xml","1977-12-31",NA,1977-12-31,"CANADA TRANSPORTATION ACT","no","0",417,7,1,1.67865707434053,0.239808153477218,4,2,1,0.479616306954436,0.239808153477218,0,0,0,0,14888,3,0.719424460431655
"61","C.R.C., c. 123","Windsor Airport Zoning Regulations","Regulations Respecting Zoning at Windsor Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._123.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",1793,1,3,0.0557724484104852,0.167317345231456,0.5,0,0,0,0,0,0,24,1.33853876185165,14888,0,0
"62","C.R.C., c. 1231","Navigable Waters Bridges Regulations","Regulations Respecting Bridges Over Navigable Waters","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1231.xml","1977-12-31",NA,1977-12-31,"NAVIGABLE WATERS PROTECTION ACT","no","0",545,11,5,2.01834862385321,0.91743119266055,2,4,4,0.73394495412844,0.73394495412844,4,0.73394495412844,7,1.28440366972477,14888,5,0.91743119266055
"63","C.R.C., c. 1232","Navigable Waters Works Regulations","Regulations Respecting Works in Navigable Waters","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1232.xml","1977-12-31",NA,1977-12-31,"NAVIGABLE WATERS PROTECTION ACT","no","0",1214,20,2,1.64744645799012,0.164744645799012,7,3,0,0.247116968698517,0,5,0.411861614497529,18,1.4827018121911,14888,0,0
"67","C.R.C., c. 1239","Oaths of Allegiance and Office Order (N.W.T.)","Order prescribing oaths of allegiance and office","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1239.xml","1977-12-31",NA,1977-12-31,"NORTHWEST TERRITORIES ACT","no","0",129,1,1,0.775193798449612,0.775193798449612,1,0,0,0,0,0,0,0,0,14888,0,0
"70","C.R.C., c. 1242","Oaths of Office Regulations","Regulations Respecting the Taking of Oaths of Office","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1242.xml","1977-12-31",NA,1977-12-31,"OATHS OF ALLEGIANCE ACT","no","0",170,4,1,2.35294117647059,0.588235294117647,2.5,0,0,0,0,0,0,2,1.17647058823529,14888,0,0
"73","C.R.C., c. 1246","Old Age Security Regulations","Regulations for Carrying into Effect the Purposes and Provisions of the Old Age Security Act","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1246.xml","1977-12-31",NA,1977-12-31,"OLD AGE SECURITY ACT","no","0",8892,93,33,1.04588394062078,0.371120107962213,2.76470588235294,13,6,0.146198830409357,0.0674763832658569,26,0.292397660818713,229,2.57534862798021,14888,114,1.28205128205128
"74","C.R.C., c. 1247","Parliamentary Secretaries Expenses Regulations","Regulations Respecting the Payment of Expenses of Parliamentary Secretaries","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1247.xml","1977-12-31",NA,1977-12-31,"PARLIAMENT OF CANADA ACT","no","0",218,4,2,1.8348623853211,0.91743119266055,1.66666666666667,2,1,0.91743119266055,0.458715596330275,0,0,0,0,14888,6,2.75229357798165
"75","C.R.C., c. 125","Yarmouth Airport Zoning Regulations","Regulations Respecting Zoning at Yarmouth Airport","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._125.xml","1977-12-31",NA,1977-12-31,"AERONAUTICS ACT","no","0",1839,2,3,0.108754758020663,0.163132137030995,0.75,3,0,0.163132137030995,0,0,0,38,2.0663404023926,14888,4,0.217509516041327
"77","C.R.C., c. 1254","Pesticide Residue Compensation Regulations","Regulations Made Pursuant to the Pesticide Residue Compensation Act","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1254.xml","1977-12-31",NA,1977-12-31,"PESTICIDE RESIDUE COMPENSATION ACT","no","0",631,9,3,1.42630744849445,0.475435816164818,2.5,1,0,0.158478605388273,0,0,0,8,1.26782884310618,14888,11,1.743264659271
"78","C.R.C., c. 1264","Atlantic Pilotage Authority Regulations","Regulations Respecting the Establishment, Operation, Maintenance and Administration of Pilotage Services within the Atlantic Pilotage Authority Region","ftp://205.193.86.89/Consolidation_Regs_1.2.0/EN/C.R.C.,_c._1264.xml","1977-12-31",NA,1977-12-31,"PILOTAGE ACT","no","2",5910,43,28,0.727580372250423,0.473773265651438,1.51724137931034,21,6,0.355329949238579,0.101522842639594,6,0.101522842639594,80,1.35363790186125,14888,14,0.236886632825719
